試合日,対戦相手,ホーム・ビジター,球場,ホークス得点,相手得点,通常勝敗,ホークスハンデ,相手ハンデ,補正後ホークス得点,補正後相手得点,ハンデ勝敗,AI予測,AI勝率,予測方式,通常的中,ハンデ的中
2024-08-24,日本ハム,away,エスコンF,1.0,6.0,敗,,,,,対象外,勝,63.0,ウォークフォワード,False,
2024-08-25,日本ハム,away,エスコンF,3.0,5.0,敗,,,,,対象外,勝,54.5,ウォークフォワード,False,
2024-08-27,オリックス,home,PayPayドーム,3.0,1.0,勝,,,,,対象外,勝,76.5,ウォークフォワード,True,
2024-08-28,オリックス,home,長崎,1.0,4.0,敗,,,,,対象外,勝,79.2,ウォークフォワード,False,
2024-08-30,ロッテ,away,ZOZOマリンスタジアム,2.0,6.0,敗,,,,,対象外,勝,63.2,ウォークフォワード,False,
2024-08-31,ロッテ,away,ZOZOマリンスタジアム,4.0,1.0,勝,,,,,対象外,勝,56.0,ウォークフォワード,True,
2024-09-01,ロッテ,away,ZOZOマリンスタジアム,10.0,2.0,勝,,,,,対象外,勝,63.1,ウォークフォワード,True,
2024-09-03,日本ハム,home,PayPayドーム,3.0,6.0,敗,,,,,対象外,勝,75.5,ウォークフォワード,False,
2024-09-04,日本ハム,home,PayPayドーム,5.0,8.0,敗,,,,,対象外,勝,77.9,ウォークフォワード,False,
2024-09-06,西武,home,PayPayドーム,0.0,1.0,敗,,,,,対象外,勝,76.7,ウォークフォワード,False,
2024-09-07,西武,home,PayPayドーム,2.0,3.0,敗,,,,,対象外,勝,71.4,ウォークフォワード,False,
2024-09-08,西武,home,PayPayドーム,3.0,1.0,勝,,,,,対象外,勝,72.6,ウォークフォワード,True,
2024-09-10,楽天,away,楽天モバイル,4.0,1.0,勝,,,,,対象外,勝,55.9,ウォークフォワード,True,
2024-09-11,楽天,away,楽天モバイル,9.0,2.0,勝,,,,,対象外,勝,66.4,ウォークフォワード,True,
2024-09-13,オリックス,away,京セラドーム大阪,8.0,3.0,勝,,,,,対象外,勝,64.6,ウォークフォワード,True,
2024-09-14,オリックス,away,京セラドーム大阪,10.0,1.0,勝,,,,,対象外,勝,64.3,ウォークフォワード,True,
2024-09-16,オリックス,away,京セラドーム大阪,1.0,0.0,勝,,,,,対象外,勝,64.8,ウォークフォワード,True,
2024-09-18,日本ハム,home,PayPayドーム,0.0,3.0,敗,,,,,対象外,勝,77.3,ウォークフォワード,False,
2024-09-20,オリックス,home,PayPayドーム,4.0,0.0,勝,,,,,対象外,勝,72.3,ウォークフォワード,True,
2024-09-21,楽天,home,PayPayドーム,3.0,2.0,勝,,,,,対象外,勝,72.2,ウォークフォワード,True,
2024-09-22,楽天,home,PayPayドーム,11.0,5.0,勝,,,,,対象外,勝,73.5,ウォークフォワード,True,
2024-09-23,オリックス,away,京セラドーム大阪,9.0,4.0,勝,,,,,対象外,勝,55.4,ウォークフォワード,True,
2024-09-25,西武,home,PayPayドーム,2.0,0.0,勝,,,,,対象外,勝,76.1,ウォークフォワード,True,
2024-09-26,西武,home,PayPayドーム,2.0,4.0,敗,,,,,対象外,勝,71.5,ウォークフォワード,False,
2024-09-28,日本ハム,away,エスコンF,6.0,7.0,敗,,,,,対象外,勝,74.1,ウォークフォワード,False,
2024-09-29,日本ハム,away,エスコンF,6.0,2.0,勝,,,,,対象外,勝,74.6,ウォークフォワード,True,
2024-09-30,オリックス,home,PayPayドーム,1.0,0.0,勝,,,,,対象外,勝,66.7,ウォークフォワード,True,
2024-10-01,オリックス,home,PayPayドーム,8.0,6.0,勝,,,,,対象外,勝,71.2,ウォークフォワード,True,
